checkpoint_num,timestamp,member_id,episode,total_steps,eval_score,model_path
1,2025-12-26T13:51:44.606953,2,6400,13248,9.88,pbt_checkpoints/checkpoints/checkpoint_01.pt
1,2025-12-26T14:05:36.235601,1,7200,27511,11.41,pbt_checkpoints/checkpoints/checkpoint_01.pt
2,2025-12-26T16:19:23.339677,0,11200,14184,12.13,pbt_checkpoints/checkpoints/checkpoint_02.pt
2,2025-12-26T17:30:22.326653,3,13600,30032,12.32,pbt_checkpoints/checkpoints/checkpoint_02.pt
3,2025-12-26T18:32:16.572410,0,15200,90008,12.14,pbt_checkpoints/checkpoints/checkpoint_03.pt
4,2025-12-26T21:11:58.022982,0,20000,76119,13.19,pbt_checkpoints/checkpoints/checkpoint_04.pt
3,2025-12-26T21:18:54.112621,3,20800,15075,13.51,pbt_checkpoints/checkpoints/checkpoint_03.pt
4,2025-12-26T21:45:39.577949,3,21600,30320,13.68,pbt_checkpoints/checkpoints/checkpoint_04.pt
1,2025-12-27T00:54:30.996212,3,7000,30655,9.15,pbt_checkpoints/checkpoints/checkpoint_01.pt
1,2025-12-27T00:57:43.930286,0,7000,60116,10.37,pbt_checkpoints/checkpoints/checkpoint_01.pt
2,2025-12-27T03:23:27.630889,2,12000,51425,10.16,pbt_checkpoints/checkpoints/checkpoint_02.pt
2,2025-12-27T04:18:19.794510,1,14000,17541,10.78,pbt_checkpoints/checkpoints/checkpoint_02.pt
3,2025-12-27T05:25:52.022426,0,16000,37804,10.87,pbt_checkpoints/checkpoints/checkpoint_03.pt
3,2025-12-27T05:52:39.216167,3,17000,17364,10.1,pbt_checkpoints/checkpoints/checkpoint_03.pt
4,2025-12-27T08:05:07.708769,1,21000,78689,12.43,pbt_checkpoints/checkpoints/checkpoint_04.pt
4,2025-12-27T08:45:51.530312,0,22000,20614,13.84,pbt_checkpoints/checkpoints/checkpoint_04.pt
5,2025-12-27T10:37:33.578140,2,25000,42958,13.31,pbt_checkpoints/checkpoints/checkpoint_05.pt
5,2025-12-27T11:05:53.014833,3,26000,65818,13.31,pbt_checkpoints/checkpoints/checkpoint_05.pt
6,2025-12-27T13:05:47.954037,1,29000,252650,13.95,pbt_checkpoints/checkpoints/checkpoint_06.pt
6,2025-12-27T14:28:34.296010,2,31000,23992,16.32,pbt_checkpoints/checkpoints/checkpoint_06.pt
7,2025-12-27T15:14:22.413910,3,32000,210651,17.33,pbt_checkpoints/checkpoints/checkpoint_07.pt
7,2025-12-27T17:14:55.715888,0,35000,25623,17.97,pbt_checkpoints/checkpoints/checkpoint_07.pt
8,2025-12-27T17:59:05.859498,0,36000,50906,17.06,pbt_checkpoints/checkpoints/checkpoint_08.pt
9,2025-12-27T20:09:57.986145,0,39000,128346,19.28,pbt_checkpoints/checkpoints/checkpoint_09.pt
8,2025-12-27T20:47:44.082449,1,40000,25770,17.44,pbt_checkpoints/checkpoints/checkpoint_08.pt
9,2025-12-27T21:34:19.666118,1,41000,53003,18.92,pbt_checkpoints/checkpoints/checkpoint_09.pt
10,2025-12-27T23:06:38.823060,3,43000,26996,17.53,pbt_checkpoints/checkpoints/checkpoint_10.pt
10,2025-12-27T23:16:18.789830,0,43000,79643,18.24,pbt_checkpoints/checkpoints/checkpoint_10.pt
11,2025-12-28T00:55:41.849471,0,45000,137563,17.66,pbt_checkpoints/checkpoints/checkpoint_11.pt
11,2025-12-28T01:29:48.759957,1,46000,84652,18.21,pbt_checkpoints/checkpoints/checkpoint_11.pt
12,2025-12-28T03:17:10.885814,0,48000,57535,19.54,pbt_checkpoints/checkpoints/checkpoint_12.pt
12,2025-12-28T04:14:41.441231,3,50000,57527,18.08,pbt_checkpoints/checkpoints/checkpoint_12.pt
13,2025-12-28T05:54:57.261635,1,52000,59205,19.61,pbt_checkpoints/checkpoints/checkpoint_13.pt
13,2025-12-28T06:37:04.085832,0,52000,28303,19.88,pbt_checkpoints/checkpoints/checkpoint_13.pt
14,2025-12-28T09:06:47.610419,2,55000,29194,19.46,pbt_checkpoints/checkpoints/checkpoint_14.pt
14,2025-12-28T10:18:11.439308,3,57000,61459,20.36,pbt_checkpoints/checkpoints/checkpoint_14.pt
15,2025-12-28T10:51:35.612891,2,57000,29093,18.76,pbt_checkpoints/checkpoints/checkpoint_15.pt
16,2025-12-28T12:35:49.994684,0,59000,154320,19.74,pbt_checkpoints/checkpoints/checkpoint_16.pt
15,2025-12-28T14:40:21.466881,1,62000,60628,21.4,pbt_checkpoints/checkpoints/checkpoint_15.pt
16,2025-12-28T16:24:15.465482,1,64000,120339,19.95,pbt_checkpoints/checkpoints/checkpoint_16.pt
17,2025-12-28T16:25:28.572875,3,64000,30470,22.69,pbt_checkpoints/checkpoints/checkpoint_17.pt
18,2025-12-28T18:11:53.800059,3,66000,30927,20.38,pbt_checkpoints/checkpoints/checkpoint_18.pt
19,2025-12-28T19:56:31.559526,3,68000,90551,21.24,pbt_checkpoints/checkpoints/checkpoint_19.pt
17,2025-12-29T00:04:07.167957,0,73000,32518,21.41,pbt_checkpoints/checkpoints/checkpoint_17.pt
18,2025-12-29T00:05:22.135906,2,73000,31772,22.26,pbt_checkpoints/checkpoints/checkpoint_18.pt
20,2025-12-29T00:19:37.687061,3,73000,31829,24.25,pbt_checkpoints/checkpoints/checkpoint_20.pt
19,2025-12-29T00:59:09.809922,0,74000,63965,19.94,pbt_checkpoints/checkpoints/checkpoint_19.pt
21,2025-12-29T02:04:23.223167,3,75000,95629,20.89,pbt_checkpoints/checkpoints/checkpoint_21.pt
22,2025-12-29T02:54:13.261069,3,76000,127022,20.48,pbt_checkpoints/checkpoints/checkpoint_22.pt
20,2025-12-29T03:27:48.637010,2,77000,32087,23.01,pbt_checkpoints/checkpoints/checkpoint_20.pt
21,2025-12-29T04:20:49.575605,2,78000,63299,19.85,pbt_checkpoints/checkpoints/checkpoint_21.pt
23,2025-12-29T06:21:52.548282,1,80000,91864,21.25,pbt_checkpoints/checkpoints/checkpoint_23.pt
24,2025-12-29T08:45:04.047049,1,83000,188924,20.93,pbt_checkpoints/checkpoints/checkpoint_24.pt
25,2025-12-29T10:25:58.209205,1,85000,251974,21.32,pbt_checkpoints/checkpoints/checkpoint_25.pt
22,2025-12-29T13:11:55.081254,2,90000,32921,19.83,pbt_checkpoints/checkpoints/checkpoint_22.pt
26,2025-12-29T14:06:09.536105,1,89000,376491,21.79,pbt_checkpoints/checkpoints/checkpoint_26.pt
27,2025-12-29T15:57:45.769584,1,91000,442563,23.83,pbt_checkpoints/checkpoints/checkpoint_27.pt
23,2025-12-29T16:51:36.709191,2,94000,33280,21.93,pbt_checkpoints/checkpoints/checkpoint_23.pt
24,2025-12-29T18:40:11.706873,0,96000,31528,24.11,pbt_checkpoints/checkpoints/checkpoint_24.pt
28,2025-12-29T18:43:48.480416,1,94000,32137,21.55,pbt_checkpoints/checkpoints/checkpoint_28.pt
25,2025-12-29T20:24:29.580421,2,98000,32073,20.39,pbt_checkpoints/checkpoints/checkpoint_25.pt
26,2025-12-29T22:13:00.828385,2,100000,97065,22.0,pbt_checkpoints/checkpoints/checkpoint_26.pt
29,2025-12-29T22:19:30.114058,3,98000,62565,22.8,pbt_checkpoints/checkpoints/checkpoint_29.pt
30,2025-12-29T23:42:46.922391,1,100000,31206,21.97,pbt_checkpoints/checkpoints/checkpoint_30.pt
