timestamp,episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size
2025-12-26T22:21:42.897346,10,313,0.0,16,2.1,2.1,0.0,293
2025-12-26T22:21:52.606184,20,829,12.0,150,4.0,3.05,0.0,789
2025-12-26T22:22:01.586326,30,1314,0.0,26,4.0,3.3666666666666667,0.0,1254
2025-12-26T22:22:08.391380,40,1598,3.0,44,1.8,2.975,0.0,1518
2025-12-26T22:22:17.672908,50,2094,6.0,42,4.5,3.28,0.0,1994
2025-12-26T22:22:24.762489,60,2441,0.0,20,2.5,3.15,0.0,2321
2025-12-26T22:22:33.701827,70,2901,4.0,38,3.3,3.1714285714285713,0.0,2761
2025-12-26T22:22:40.529821,80,3202,1.0,16,2.1,3.0375,0.0,3042
2025-12-26T22:22:48.238237,90,3546,4.0,37,2.9,3.022222222222222,0.0,3366
2025-12-26T22:22:55.740801,100,3938,0.0,26,2.4,2.96,0.0,3738
2025-12-26T22:23:02.648883,110,4209,5.0,63,1.6,2.91,0.0,3989
2025-12-26T22:23:08.698441,120,4651,1.0,41,3.0,2.81,0.0,4411
2025-12-26T22:23:15.893571,130,5115,7.0,65,3.7,2.78,0.0,4855
2025-12-26T22:23:23.349948,140,5516,2.0,35,3.2,2.92,0.0,5236
2025-12-26T22:23:30.030350,150,5855,12.0,79,3.6,2.83,0.0,5555
2025-12-26T22:23:37.804729,160,6273,4.0,41,3.3,2.91,0.0,5953
2025-12-26T22:23:43.833342,170,6637,1.0,31,2.5,2.83,0.0,6297
2025-12-26T22:23:51.562142,180,6981,1.0,17,2.2,2.84,0.0,6621
2025-12-26T22:23:59.358076,190,7376,3.0,25,2.5,2.8,0.0,6996
2025-12-26T22:24:06.912160,200,7827,6.0,74,3.8,2.94,0.0,7427
2025-12-26T22:24:14.659294,210,8167,6.0,62,2.7,3.05,0.0,7747
2025-12-26T22:24:22.678168,220,8582,1.0,37,2.4,2.99,0.0,8142
2025-12-26T22:24:29.083025,230,8928,5.0,28,2.9,2.91,0.0,8468
2025-12-26T22:24:36.288142,240,9270,1.0,43,1.7,2.76,0.0,8790
2025-12-26T22:24:42.649200,250,9542,0.0,22,1.4,2.54,0.0,9042
2025-12-26T22:24:48.887143,260,9889,0.0,29,2.5,2.46,0.0,9369
2025-12-26T22:24:54.613468,270,10130,4.0,42,0.8,2.29,0.0,9590
2025-12-26T22:25:00.890027,280,10601,1.0,22,4.1,2.48,0.0,10041
2025-12-26T22:25:09.000305,290,10880,1.0,16,2.2,2.45,0.0,10300
2025-12-26T22:25:14.199154,300,11177,0.0,15,2.1,2.28,0.0,10577
2025-12-26T22:25:21.211800,310,11699,8.0,60,4.8,2.49,0.0,11079
2025-12-26T22:25:27.739191,320,11987,2.0,15,1.8,2.43,0.0,11347
2025-12-26T22:25:34.616314,330,12371,1.0,25,1.9,2.33,0.0,11711
2025-12-26T22:25:39.975230,340,12646,0.0,24,1.7,2.33,0.0,11966
2025-12-26T22:25:45.713305,350,12896,2.0,15,1.6,2.35,0.0,12196
2025-12-26T22:25:54.596407,360,13286,1.0,36,3.4,2.44,0.0,12566
2025-12-26T22:26:01.673876,370,13577,2.0,53,1.9,2.55,0.0,12837
2025-12-26T22:26:09.183305,380,13845,3.0,45,1.8,2.32,0.0,13085
2025-12-26T22:26:17.715908,390,14185,2.0,24,2.7,2.37,0.0,13405
2025-12-26T22:26:24.347914,400,14588,3.0,35,3.2,2.48,0.0,13788
2025-12-26T22:26:31.818901,410,15040,3.0,29,4.2,2.42,0.0,14220
2025-12-26T22:26:39.022408,420,15442,0.0,25,2.3,2.47,0.0,14602
2025-12-26T22:26:46.572188,430,15872,0.0,13,3.5,2.63,0.0,15012
2025-12-26T22:26:54.314040,440,16406,4.0,45,3.3,2.79,0.0,15526
2025-12-26T22:27:02.568280,450,16947,3.0,37,3.9,3.02,0.0,16047
