episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size,actions_taken
10,554,11.0,140,4.1,4.1,0.0,534,"[0, 1, 3, 1, 1, 3, 1, 0, 2, 1, 0, 1, 0, 0, 1, 3, 0, 0, 1, 3, 2, 1, 1, 3, 3, 5, 0, 5, 1, 1, 1, 3, 1, 1, 3, 3, 3, 3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 3, 1, 5, 0, 1, 2, 1, 1, 0, 1, 1, 4, 1, 1, 1, 1, 5, 1, 1, 0, 1, 2, 3, 3, 1, 5, 1, 2, 3, 0, 2, 1, 3, 3, 0, 4, 2, 3, 0, 1, 1, 1, 1, 3, 2, 1, 1, 0, 1, 1, 3, 1, 3, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 3, 0, 0, 1, 1, 1, 3, 2, 3, 1, 3, 1, 3, 0, 3, 1, 1, 1]"
20,1286,8.0,71,5.7,4.9,1.6534330248832703,1246,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30,1881,5.0,68,4.8,4.866666666666666,1.8913591653108597,1821,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
40,2424,6.0,43,4.9,4.875,1.3167982921004295,2344,"[1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
50,2926,7.0,67,4.1,4.72,2.0193973779678345,2826,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 2, 1, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 2, 2, 5]"
60,3362,2.0,43,2.5,4.35,1.32565089315176,3242,"[2, 1, 2, 1, 2, 2, 2, 2, 0, 2, 2, 5, 2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 5, 1, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 1, 2, 3]"
70,3719,0.0,16,2.7,4.114285714285714,0.4783524125814438,3579,"[0, 1, 3, 4, 1, 0, 2, 2, 1, 2, 2, 2, 0, 1, 2, 5]"
80,4263,2.0,60,4.6,4.175,1.8084106594324112,4103,"[2, 5, 5, 5, 5, 1, 0, 5, 5, 2, 2, 0, 4, 0, 5, 0, 0, 0, 5, 5, 0, 0, 2, 0, 0, 0, 0, 4, 2, 4, 4, 0, 5, 0, 5, 5, 0, 0, 5, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0]"
90,4574,2.0,45,2.5,3.988888888888889,1.3114735558629036,4394,"[5, 2, 1, 2, 1, 5, 2, 1, 2, 5, 3, 2, 2, 5, 5, 5, 5, 2, 0, 0, 0, 5, 2, 5, 0, 5, 0, 1, 5, 1, 5, 5, 5, 5, 1, 2, 2, 1, 0, 1, 5, 5, 0, 2, 5]"
100,5087,11.0,90,5.4,4.13,2.560421772301197,4887,"[1, 1, 1, 2, 5, 1, 1, 0, 2, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 5, 0, 5, 5, 5, 5, 5, 5, 0, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 5, 1, 0, 2, 5, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5]"
110,5524,5.0,51,3.4,4.06,1.501756213605404,5304,"[1, 1, 1, 1, 1, 1, 1, 3, 2, 5, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
120,5990,3.0,28,3.9,3.88,0.820529393851757,5750,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
130,6280,6.0,65,2.8,3.68,2.0142712220549583,6020,"[1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 1, 2, 5, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 2, 5, 1, 5]"
140,6658,4.0,27,3.6,3.55,0.809385746717453,6378,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 4, 2, 5, 5, 3, 5, 5]"
150,7332,5.0,39,6.8,3.82,1.177594669163227,7032,"[5, 2, 4, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 5, 2, 2, 0, 2]"
160,7650,5.0,34,2.8,3.85,0.908113919198513,7330,"[1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
170,7978,3.0,15,3.0,3.88,0.4586515501141548,7638,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
180,8601,2.0,47,5.3,3.95,1.3955423161387444,8241,"[5, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 2, 5, 1, 2, 2, 0, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 2]"
190,8973,5.0,40,3.0,4.0,1.1820552796125412,8593,"[2, 2, 2, 2, 0, 2, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
200,9500,0.0,17,5.7,4.03,0.5812799334526062,9100,"[2, 5, 2, 1, 2, 1, 2, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5]"
210,10080,0.0,22,4.4,4.13,0.6869507730007172,9660,"[2, 4, 4, 4, 2, 2, 2, 2, 0, 2, 2, 2, 1, 5, 1, 1, 5, 5, 5, 5, 5, 5]"
220,10622,5.0,31,5.0,4.24,0.9181914031505585,10182,"[5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
230,11039,1.0,59,2.5,4.21,1.6258795857429504,10579,"[5, 4, 4, 5, 5, 5, 2, 2, 1, 0, 5, 5, 0, 5, 2, 2, 2, 5, 5, 4, 5, 5, 5, 2, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 5, 4, 5, 2, 2, 5, 5, 5, 5, 5, 5]"
240,11478,1.0,31,3.9,4.24,0.8575611039996147,10998,"[4, 4, 4, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 5, 5, 4, 4, 4, 5, 4, 2]"
250,11887,6.0,32,4.0,3.96,0.8354813680052757,11387,"[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
260,12241,1.0,18,2.6,3.94,0.5448068976402283,11721,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 2, 5, 2, 2]"
270,12567,2.0,42,2.3,3.87,1.1271415278315544,12027,"[4, 5, 1, 5, 5, 1, 5, 5, 5, 0, 5, 3, 0, 5, 5, 2, 5, 5, 5, 2, 2, 5, 5, 2, 2, 2, 1, 5, 1, 5, 2, 1, 2, 1, 1, 4, 5, 5, 2, 5, 5, 2]"
280,13125,6.0,45,5.3,3.87,1.1591774821281433,12565,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]"
290,13662,7.0,78,4.3,4.0,2.0507934913039207,13082,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 4, 5, 5, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 5, 2, 2, 5, 0, 2, 5, 4, 5, 4, 4, 1, 5, 5, 2, 4, 5, 5, 5, 5]"
300,14091,3.0,36,3.1,3.74,0.9780337885022163,13491,"[0, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
310,14477,6.0,42,4.5,3.75,1.2232214361429214,13857,"[5, 5, 5, 5, 5, 5, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 5, 2, 2, 2]"
320,14848,0.0,29,3.9,3.64,0.7748696058988571,14208,"[5, 2, 2, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 1, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4]"
330,15141,2.0,29,2.7,3.66,0.7163423076272011,14481,"[5, 2, 5, 5, 5, 5, 2, 5, 5, 5, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
340,15621,12.0,91,5.4,3.81,2.413902774453163,14941,"[5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 5, 4, 5, 5, 5, 5, 4, 5, 1, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]"
350,15992,8.0,60,4.0,3.81,1.6062371283769608,15292,"[1, 2, 4, 2, 4, 4, 4, 5, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4]"
360,16469,8.0,60,6.2,4.17,1.5539732202887535,15749,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2]"
370,16869,6.0,40,5.2,4.46,1.1098694577813148,16129,"[5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4]"
380,17576,5.0,33,7.8,4.71,0.858595460653305,16816,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 0, 4]"
390,17919,2.0,35,3.5,4.63,0.7972546368837357,17139,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
400,18490,6.0,53,6.1,4.93,1.3386246263980865,17690,"[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 0, 0, 4]"
410,18988,4.0,53,6.2,5.1,1.5034693852066994,18168,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 1, 1, 1, 1, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
420,19358,3.0,25,4.2,5.13,0.5722929984331131,18518,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 2, 2, 2, 2, 2, 2]"
430,19801,9.0,76,5.5,5.41,1.9648985341191292,18941,"[1, 5, 1, 1, 1, 2, 4, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 5]"
440,20245,6.0,76,5.3,5.4,1.908804528415203,19365,"[4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 5, 4, 2, 5, 1, 5, 1, 1, 1, 0, 2, 4, 2, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4]"
450,20727,0.0,15,5.2,5.52,0.3278421238064766,19827,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
460,21098,6.0,44,4.3,5.33,1.1050399020314217,20178,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]"
470,21799,8.0,61,7.0,5.51,1.3349493592977524,20859,"[4, 4, 4, 4, 4, 1, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
480,22349,6.0,45,6.4,5.37,1.0956816747784615,21389,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 5, 5, 2, 2, 5, 2, 2, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 2, 4]"
490,22834,7.0,67,5.6,5.58,1.7166244015097618,21854,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 0, 4, 4]"
500,23451,7.0,63,7.0,5.67,1.4976181462407112,22451,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
510,23932,2.0,13,4.5,5.5,0.39357512444257736,22912,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]"
520,24295,6.0,42,4.3,5.51,1.053251527249813,23255,"[1, 2, 1, 1, 2, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
530,24690,8.0,61,4.2,5.38,1.5142267048358917,23630,"[4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 5, 2, 1, 4, 1, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
540,25154,4.0,75,4.6,5.31,1.7913584038615227,24074,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 5, 5, 4, 2, 0, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 2, 0]"
550,25825,14.0,92,7.6,5.55,2.2224365398287773,24725,"[5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 1, 5, 1, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
560,26268,8.0,73,4.7,5.59,1.8207669407129288,25148,"[1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
570,26911,3.0,21,5.2,5.41,0.48719851672649384,25771,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
