episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size,actions_taken
10,456,3.0,45,3.3,3.3,0.0,436,"[4, 1, 0, 0, 1, 3, 1, 1, 3, 1, 0, 2, 1, 0, 1, 0, 0, 1, 3, 0, 0, 1, 3, 2, 1, 1, 3, 3, 5, 0, 1, 1, 1, 1, 0, 1, 1, 3, 3, 3, 3, 1, 1, 3, 1]"
20,1005,2.0,17,3.3,3.3,0.12254577875137329,965,"[3, 2, 1, 1, 3, 1, 1, 3, 1, 3, 0, 1, 3, 0, 0, 3, 4]"
30,1554,2.0,25,4.5,3.7,0.5727515518665314,1494,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
40,2078,3.0,46,4.0,3.775,1.3045016676187515,1998,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
50,2720,2.0,14,5.9,4.2,0.455213338136673,2620,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1]"
60,3119,8.0,57,5.4,4.4,1.6435917913913727,2999,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
70,3658,2.0,15,5.1,4.5,0.45447469502687454,3518,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
80,4120,3.0,39,5.7,4.65,1.1579490303993225,3960,"[5, 1, 0, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 3, 1]"
90,4688,0.0,20,6.5,4.855555555555555,0.6070865020155907,4508,"[2, 2, 2, 2, 2, 1, 2, 2, 3, 1, 2, 2, 5, 2, 3, 2, 2, 2, 2, 2]"
100,5113,3.0,17,4.5,4.82,0.482615627348423,4913,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
